predicted,observed,n,gap
0.05152116246239021,0.04542190983637532,26463,-0.006099252626014892
0.07283955524634632,0.0640139062086687,26463,-0.008825649037677616
0.09224680985775106,0.0865737066848052,26463,-0.005673103172945865
0.11461973163330177,0.11045610852888939,26463,-0.004163623104412387
0.14230954705203194,0.14367229716963306,26463,0.0013627501176011192
0.17875222078083586,0.17882246239891164,26462,7.024161807578366e-05
0.22941743584140104,0.23164418244341156,26463,0.0022267466020105264
0.3056688567391686,0.29573366587310584,26463,-0.00993519086606276
0.4435425527355478,0.4197936741866002,26463,-0.02374887854894764
0.7665490054324674,0.719873030268677,26463,-0.046675975163790406
